epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,312.118,1.83012,15.8027,1.28734,0,0,0,0,4.05281,30.4696,1.72373,0.000228756,0.000228756,0.000228756
35,320.813,2.09834,26.4265,1.28562,0,0,0,0,4.70725,30.8214,2.04348,0.000222224,0.000222224,0.000222224
36,329.628,1.35157,18.9345,1.38351,0,0,0,0,3.87572,30.3235,1.73554,0.0002149,0.0002149,0.0002149
37,337.974,1.72414,12.9808,1.33644,0,0,0,0,3.6083,30.1532,1.64685,0.000206784,0.000206784,0.000206784
38,346.195,1.69674,8.3923,1.32341,0,0,0,0,3.84871,30.2866,1.76349,0.000197876,0.000197876,0.000197876
39,355.864,1.91058,32.8942,1.33409,0,0,0,0,3.68429,30.1915,1.69306,0.000188176,0.000188176,0.000188176
40,364.289,2.04415,13.5674,1.52661,0,0,0,0,3.50355,30.096,1.62077,0.000177684,0.000177684,0.000177684
41,373.923,1.80414,28.7334,1.50737,0,0,0,0,3.41451,30.0534,1.58348,0.0001664,0.0001664,0.0001664
42,386.071,1.42796,20.6044,1.27738,0,0,0,0,3.38103,30.0337,1.57355,0.000154324,0.000154324,0.000154324
43,396.717,3.06725,78.8509,1.77396,0,0,0,0,3.35097,30.002,1.56955,0.000141456,0.000141456,0.000141456
44,405.629,2.12782,28.2732,1.84816,0,0,0,0,3.35423,29.9902,1.57522,0.000127796,0.000127796,0.000127796
45,414.485,1.70231,28.551,1.52247,0,0,0,0,3.36025,29.9817,1.57898,0.000113344,0.000113344,0.000113344
46,423.288,1.64424,21.5153,1.30578,0,0,0,0,3.37531,29.9764,1.58581,9.81e-05,9.81e-05,9.81e-05
47,432.23,1.62806,27.0016,1.48431,0,0,0,0,3.37082,29.9566,1.58497,8.2064e-05,8.2064e-05,8.2064e-05
48,441.209,1.57064,20.2499,1.47543,0,0,0,0,3.38389,29.9494,1.59293,6.5236e-05,6.5236e-05,6.5236e-05
49,449.975,1.79856,17.0834,1.59243,0,0,0,0,3.4096,29.9496,1.60393,4.7616e-05,4.7616e-05,4.7616e-05
50,458.547,1.39468,20.993,1.3802,0,0,0,0,3.45908,29.9695,1.62538,2.9204e-05,2.9204e-05,2.9204e-05
